car,car,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,pros,pros,pros,cons,cons,cons
2020 Nissan Sentra ,"$19,090.00 ",4.1,4.1,4.6,4.266666667,,4,4.7,4.35,,3.9,4.5,4.2,,4.1,4.5,4.3,,4,4.6,4.3,,4.1,4.5,4.3,,4.1,4.5,4.3,"Fuel Economy, Ride and Handling, Technology and Entertainment",All-new exterior & interior styling; Excellent standard tech features; Best standard safety equipment in mid-priced compact-sedan category; All-new platform w/improved driving dynamics; Comfortable interior; ,,"Seat Comfort, Power, Technology and Entertainment",Rear visibility feels compromised; No hybrid-engine option available; ,
2020 Kia Forte ,"$17,790.00 ",3.7,4.1,4.8,4.2,,4.3,4.8,4.55,,4,4.6,4.3,,4.1,4.8,4.45,,4.1,4.7,4.4,,4.2,4.7,4.45,,4.4,4.8,4.6,"Value, Technology and Entertainment, Cargo Space",Roomy for a compact sedan; Several safety features; Fuel-efficient engines; Competent chassis; Outstanding powertrain warranty; ,Interior design and materials; Sport-oriented GT trim level; 8-inch touchscreen standard; Drama-free controls ; Ample standard safety features; Overall value; ,Styling,The cabin has a few hard plastics; Doesn’t “wow” in any particular area; ,Roofline limits headroom; Small door openings; No hatchback version; Trunk space ; Difficult-to-access lower Latch anchors for car seats; Fun GT trim sacrifices 3 mpg combined; 
2020 Volkswagen Jetta ,"$18,895.00 ",4.4,4.1,4.9,4.466666667,,4.1,4.9,4.5,,4.1,4.9,4.5,,3.8,4.9,4.35,,4,4.9,4.45,,4.1,4.9,4.5,,4.1,5,4.55,"Fuel Economy, Interior Space, Styling","A “compact” sedan that’s almost as spacious as a midsize; Excellent driving manners blending comfort w/composure; Apple CarPlay/Android Auto smartphone integration is standard; Impressive &transferable 6-year/72,000-1. mile bumper-to-bumper warranty; GLI performance variants pack extra fun; ","Excellent multimedia system on higher trim levels; Automatic emergency braking available; Apple CarPlay, Android Auto standard; Roomy interior, trunk; Comfortable, quiet ride; ","Power, Dashboard, Technology and Entertainment","Mazda3 & Honda Civic are also highly attractive; Hyundai Elantra & Kia Forte have 10-year/100,000-mile powertrain warranties; ",Interior quality falls off in rear seat; Steering needs more feel; Handling not as tight as old model; Interior design not as upscale as some rivals; Just OK multimedia on lower trims; 
2020 Hyundai Sonata ,"$23,400.00 ",5,4.2,4.8,4.666666667,,4.7,4.9,4.8,,4.5,4.8,4.65,,4.5,4.8,4.65,,4.5,4.8,4.65,,4.7,4.8,4.75,,4.4,4.8,4.6,Styling,Standard Apple CarPlay/Android Auto; Standard suite of safety & driver-assist features; Class-leading warranty; Class-exclusive tech features; New Sonata Hybrid arrives in June; ,,Power,Exterior design can be polarizing; Sporty N-Line model not yet available; No all-wheel-drive or manual-transmission options; ,
2020 Dodge Charger ,"$29,995.00 ",5,4.8,4.8,4.866666667,,4.7,4.9,4.8,,4.8,4.9,4.85,,4.7,4.8,4.75,,4.8,4.9,4.85,,4.8,4.9,4.85,,4.8,4.7,4.75,"Ride and Handling, Technology and Entertainment, Fuel Economy","Vast range of power levels, from a 300-hp V6 to a 717-hp Hellcat V8; Musclecar looks, even on base models; Choice of rear-drive or all-wheel drive; Generous interior space; Easily decipherable and fast-processing infotainment system; ",Powerful V-6 and V-8 engines; V-6 gas mileage; Uconnect multimedia system; SRT Hellcat performance; ,"Power, Styling, Visibility","Middling reliability results; Thirsty for fuel, especially the high-powered editions; All-wheel drive is not offered with V8 engine; Resale values under the average; ",Fake-looking interior metal trim; V-8 fuel economy; Heated and ventilated seat controls on multimedia screen; 
2020 Kia Optima ,"$23,390.00 ",5,4.4,4.9,4.766666667,,4.4,4.9,4.65,,4.2,4.7,4.45,,4.4,4.9,4.65,,4.4,4.9,4.65,,4.6,5,4.8,,4.5,4.8,4.65,"Fuel Economy, Cargo Space, Technology and Entertainment",Attractive styling; Roomy for a midsize sedan; Generous standard safety suite; Hybrid and PHEV available; Excellent powertrain warranty; ,"Many standard safety, driver-assistance features    ; Spacious interior; Intuitive controls; ","Dashboard, Seat Comfort",No all-wheel-drive model is available; No spare tire (except on SX); Turbo model is thirsty when driven hard; Limited Package on SX has been discontinued; ,Unremarkable engines; So-so handling; Firm ride with sport suspension (SX); 
2020 Nissan Versa ,"$16,400.00 ",5,3.9,4.6,4.5,,4.3,4.7,4.5,,3.7,4.4,4.05,,3.8,4.7,4.25,,3.8,4.6,4.2,,4.2,4.7,4.45,,4.4,4.5,4.45,"Ride and Handling, Technology and Entertainment",Much-improved styling; More safety and driver-assist technology; Class-above materials; Excellent fuel economy; Still value-priced; ,"Front and rear auto braking standard ; Improved interior design and materials; Large trunk with standard split, folding backseat; Improved ride and handling;  Fuel economy ; Good visibility; Price still low but with more value; ",,"CVT (continuously variable automatic transmission) is efficient, not sporty; Still has rear drum brakes; 1.6-liter engine works hard when Versa has a full load of people; ",Not much go power; Engine buzzy on acceleration; Some choppiness on rough pavement; Minimal cabin storage; Lots of hard plastic in base interior; Stick shift offered only on base model; 
2020 Subaru Impreza ,"$18,695.00 ",5,4.1,4.7,4.6,,4.3,4.8,4.55,,4,4.7,4.35,,4.1,4.7,4.4,,4.2,4.6,4.4,,4.5,4.8,4.65,,4.6,4.7,4.65,"Fuel Economy, Weather Versatility, Interior Space",Standard all-wheel drive; EyeSight safety system standard on CVT models; Choice of sedan or hatchback; Automatic or manual transmission; ,Cabin materials on top trim; Ride and handling; Rear legroom and headroom; Multimedia system usability ; Visibility; ,"Technology and Entertainment, Power, Styling",Not all that sporty or fun to drive; No hybrid version offered; EyeSight not available with manual transmission; ,Cheap interior materials on base and mid-level trims; Road noise; CVT noise; Sedan's trunk space ; 
2020 Lexus ES ,"$40,925.00 ",4.5,3.8,4.9,4.4,,3.9,4.8,4.35,,4,4.9,4.45,,4.2,4.8,4.5,,4.1,4.9,4.5,,4.4,5,4.7,,4.2,4.8,4.5,"Ride and Handling, Power, Interior Space",Another solidly reliable Lexus sedan; Hybrid version mixes abundant power with 44 mpg; Assertive looks & sharper dynamics in a car that used to have neither; ,Interior design; 12.3-inch dashboard screen available    ; Automatic emergency braking standard ; ,"Cost to Maintain, Cabin Noise, Fuel Economy",Lexus design philosophy continues to be an acquired taste; F Sport version not really sporty enough; Infotainment-system touch pad not intuitive to use; ,Remote Touch interface; Leather upholstery not standard; Unremarkable hybrid gas mileage estimates; 
2020 BMW 3 Series ,"$41,000.00 ",4.3,3.9,4.9,4.366666667,,3.4,4.9,4.15,,4.2,5,4.6,,3.8,4.8,4.3,,3.9,4.8,4.35,,3.6,4.9,4.25,,3.9,4.7,4.3,"Ride and Handling, Styling, Fuel Economy",Long considered the benchmark of compact-luxury sedans; Enviable badge & performance reputation; New M340i adds 6-cylinder power to lineup; Stylish-yet-enduring design; ,,"Cost to Maintain, Weather Versatility, Value",More expensive than almost every rival; No manual transmission available; Lacks Android Auto integration; ,
2020 MAZDA MAZDA3 ,"$22,420.00 ",5,4,4.6,4.533333333,,4,4.7,4.35,,3.8,4.3,4.05,,3.8,4.8,4.3,,3.9,4.6,4.25,,3.9,4.5,4.2,,3.9,4.4,4.15,"Ride and Handling, Dashboard, Seat Comfort",Luxury-car level details; Available all-wheel drive; Brilliant handling; Standard driver-assist safety features; ,Sharp handling; Steering feedback; Interior quality ; Manual transmission still available; ,"Fuel Economy, Visibility",Engine could do with more power; Hatchback’s love-it-or-leave-it styling; Manual transmission only available on one hatchback trim; Apple CarPlay & Android Auto not standard; ,Narrow driver’s seat; Small backseat; Multimedia system interface; Rivals offer better gas mileage; All-wheel drive lowers gas mileage; 
2021 Kia K5 ,"$23,490.00 ",,4.4,4.7,4.55,,4.4,4.8,4.6,,4.1,4.5,4.3,,4.2,4.8,4.5,,4.5,4.8,4.65,,4.6,4.6,4.6,,4.7,4.6,4.65,,"All-new midsize sedan; Replaces Optima; Stronger, longer, wider, lower; Roomier interior; Optional AWD; Turbocharged engines; ",Comfortable ride; Interior quality; No-nonsense controls; GT-Line’s sporty styling; Generous front seat travel; Well-executed standard touchscreen; ,,No Kia K5 hybrid in the plans; No Kia K5 PHEV in the plans; Wireless Apple Carplay not available with 10.25-inch infotainment screen; Panoramic sunroof cuts into headroom; ,Slight delay before acceleration; “Upgraded” touchscreen makes many sacrifices; Major option package requires touchscreen “upgrade”; Backseat’s center position has limited headroom; AWD not offered on EX trim level; Base LX trim level is stripped down; 
2020 Subaru Legacy ,"$22,745.00 ",5,4.8,4.9,4.9,,4.8,4.8,4.8,,4.3,4.6,4.45,,4.9,4.8,4.85,,4.9,5,4.95,,5,4.9,4.95,,4.1,4.8,4.45,"Fuel Economy, Styling, Reliability","Built on all-new global platform; Quiet, comfortable cabin; Greatly improved interior materials; Standard all-wheel drive & adaptive cruise; Roomy 5-passenger package; ",Interior room; Cabin materials quality; Standard all-wheel drive; Multimedia system ; Ride; Child seat accommodations  ; ,Technology and Entertainment,CVT-only transmission; Conservative styling; Some features buried in touch-screen menu; ,"CVT noise, performance; Slow off the line; Intrusive engine stop-start system; Excessive beeping from EyeSight; Fuel economy vs. FWD competitors; Lackluster looks; "
2020 BMW 5 Series ,"$54,895.00 ",4.3,4.4,5,4.566666667,,4.4,5,4.7,,4.8,5,4.9,,4.5,5,4.75,,4.8,5,4.9,,4.4,5,4.7,,4.8,4.8,4.8,"Ride and Handling, Styling, Fuel Economy",Thrilling ride & handling; Prestigious name; Strong engine lineup; High-tech options; ,Active suspension available; Adaptive LED headlights available; All-wheel drive available; Cabin quality; ,"Cost to Maintain, Weather Versatility, Value",Can get pricey as options are added; Ride can be a bit firm; Maintenance after warranty expires can be expensive; ,Backseat isn’t that roomy ; Styling may be too evolutionary for some; 
2020 Mercedes-Benz C-Class ,"$43,395.00 ",5,4.3,4.5,4.6,,4.2,4.7,4.45,,4.5,4.7,4.6,,4.4,4.7,4.55,,4.2,4.7,4.45,,4.2,4,4.1,,4.7,4.2,4.45,"Technology and Entertainment, Power, Reliability","A benchmark for style, pedigree & performance; Available all-wheel drive for slick roads; Offered in sedan, coupe & convertible body styles; Available AMG performance versions (reviewed separately); ",Excellent cabin materials;  Strong acceleration; Intuitive multimedia system; Well-executed folding backseat; ,"Technology and Entertainment, Fuel Economy, Cost to Maintain","High prices; Metallic paint & leather are optional, not standard; Lineup lacks a Sportback-style derivative or a wagon; ",Somewhat numb steering; Low backseat cushion; 
2020 Mercedes-Benz E-Class ,"$55,000.00 ",5,4.2,5,4.733333333,,4.1,5,4.55,,4.2,5,4.6,,4.3,5,4.65,,4.4,5,4.7,,4.3,5,4.65,,4.5,5,4.75,"Technology and Entertainment, Power, Reliability","Sedan, wagon, coupe, convertible: the choice is yours; Powerful yet efficient turbocharged engines; Excellent balance between ride & handling; Sublime interior, especially when optioned to the max; High-tech infotainment & safety systems; ","Light, eager driving feel; Obedient nine-speed automatic transmission; First-class cabin; Brake pedal feel; Pillarless coupe styling of two-door; ","Technology and Entertainment, Fuel Economy, Cost to Maintain",Everything desirable costs extra; Prices escalate fast; ,Optional air suspension may be too firm for some; Comand system doesn't include a touchscreen; Console touchpad had trouble interpreting handwriting ; Wind noise on highway; Coupe's small rear-quarter windows disrupt the styling; Gets pricey with options; 
2020 Volkswagen Passat ,"$22,995.00 ",5,4,4.7,4.566666667,,4,4.7,4.35,,3.7,4.6,4.15,,4,4.6,4.3,,3.9,4.8,4.35,,4,4.8,4.4,,4,4.7,4.35,"Fuel Economy, Cargo Space, Seat Comfort",Wide array of standard equipment makes the Passat a good value; Upscale interior is roomy & quiet; Advanced safety and driver-assist features come standard; The trunk is downright cavernous; ,,"Cabin Noise, Braking",Styling changes are subtle; Only one engine/transmission choice; All-wheel drive isn’t available; Lacks some features available in similarly priced competitors’ sedans; ,
